recent_days,freq_diff,frequency,monetary,purchase_year,ongkir,Customer_segment,RFM_Score,monthly_spend,mean_pembelian,Churn
199,4.5227272727272725,44,21577417.0,2018,370000.0,3.0,4.31,430114.62,34.20454545454545,1
249,22.63636363636364,11,4341734.0,2019,110000.0,2.0,3.14,121730.86,97.27272727272728,1
62,62.0,1,2025423.0,2022,15000.0,0.0,1.2,1442669.105,0.0,0
2275,2275.0,1,539902.0,2016,10000.0,0.0,0.48,539902.0,0.0,1
199,2.5844155844155843,77,23254949.0,2016,377500.0,4.0,4.55,629962.54,26.649350649350648,1
178,4.238095238095238,42,22330413.0,2019,377500.0,3.0,4.37,527490.07,30.23809523809524,0
161,80.5,2,581873.0,2022,25000.0,1.0,1.8,1246870.71,7.0,0
143,143.0,1,541236.0,2022,25000.0,0.0,1.17,541236.0,0.0,0
1120,1120.0,1,212840.0,2019,15000.0,0.0,0.54,212840.0,0.0,1
163,14.818181818181818,11,2820958.0,2022,65000.0,2.0,3.4,467562.1,16.454545454545453,0
